144	U	(148,2)	-	-
145	U	(146,1)	-	c(5.117)
146	A	(147,1)	-	-
147	C	(144,1)	-	-
148	U	(152,2)	-	-
149	U	(150,1)	-	>(5, X)
150	A	(151,1)	-	-
151	C	(148,1)	-	-
152	U	(155,1)	-	-
153	U	(154,1)	-	d([5|T])
154	A	(152,1)	-	-
155	R	-	-	-
156	E	(157,2)	(158,1)	a(X)
157	U	(162,2)	-	-
158	C	(159,1)	(163,1)	-
159	U	(160,1)	-	b(X)
160	A	(161,1)	-	-
161	C	(157,1)	(164,1)	-
162	U	(167,1)	-	-
163	U	(165,1)	-	c(X)
164	U	(166,1)	-	-
165	G	(164,2)	(166,1)	X
166	A	(162,1)	-	-
167	R	-	-	-
168	E	(169,2)	(170,1)	a(X)
169	U	(174,2)	-	-
170	C	(171,1)	(175,1)	-
171	U	(172,1)	-	b(Y)
172	A	(173,1)	-	-
173	C	(169,1)	-	-
174	U	(177,1)	-	-
175	U	(176,1)	-	c(Z)
176	A	(174,1)	-	-
177	R	-	-	-
178	E	(179,2)	(180,1)	a(X)
179	U	(183,1)	-	-
180	C	(181,1)	-	-
181	U	(182,1)	-	b(b(b([A|B])))
182	A	(179,1)	-	-
183	R	-	-	-
184	E	(185,2)	(186,1)	a(X, Y, Z)
185	U	(190,2)	-	-
186	C	(187,1)	(191,1)	-
187	U	(188,1)	-	b(X, Y)
188	A	(189,1)	-	-
189	C	(185,1)	(192,1)	-
190	U	(196,1)	-	-
191	U	(193,1)	-	c(X, Z)
192	U	(195,1)	-	-
193	G	(192,2)	(194,1)	X
194	I	(192,2)	(195,1)	[[Z, Y]]
195	A	(190,1)	-	-
196	R	-	-	-
197	E	(198,2)	(199,1)	a(X, Y, Z)
198	U	(203,2)	-	-
199	C	(200,1)	(204,1)	(211,1)	
200	U	(201,1)	-	b(X, Y)
201	A	(202,1)	-	-
202	C	(198,1)	(205,1)	(212,1)	
203	U	(210,2)	-	-
204	U	(206,1)	-	c(X, Z)
205	U	(208,1)	-	-
206	G	(205,2)	(207,1)	X
207	I	(205,2)	(208,1)	[[Z, Y]]
208	A	(209,1)	-	-
209	C	(203,1)	(214,1)	-
210	U	(217,1)	-	-
211	U	(213,1)	-	d(X)
212	U	(215,1)	-	-
213	G	(212,2)	(215,1)	X
214	U	(216,1)	-	-
215	G	(214,2)	(216,1)	X
216	A	(210,1)	-	-
217	R	-	-	-
218	E	(219,2)	(220,1)	ar(X, Y)
219	U	(223,1)	-	-
220	C	(221,1)	-	-
221	U	(222,1)	-	>(+(X, Y), 5)
222	A	(219,1)	-	-
223	R	-	-	-
224	E	(225,2)	(226,1)	ar(X, Y)
225	U	(229,1)	-	-
226	C	(227,1)	-	-
227	U	(228,1)	-	>(*(X, Y), 5)
228	A	(225,1)	-	-
229	R	-	-	-
230	E	(231,2)	(232,1)	ar(X, Y)
231	U	(236,2)	-	-
232	C	(233,1)	(237,1)	-
233	U	(234,1)	-	a(/(X, Y))
234	A	(235,1)	-	-
235	C	(231,1)	(238,1)	-
236	U	(241,1)	-	-
237	U	(239,1)	-	b(+(X, *(Y, X)))
238	U	(240,1)	-	-
239	G	(238,2)	(240,1)	X, Y
240	A	(236,1)	-	-
241	R	-	-	-
242	E	(243,2)	(244,1)	ar(X, Y)
243	U	(247,1)	-	-
244	C	(245,1)	-	-
245	U	(246,1)	-	>(+(X, *(Y, X)), 5)
246	A	(243,1)	-	-
247	R	-	-	-
248	E	(249,2)	(250,1)	ar(X, Y)
249	U	(253,1)	-	-
250	C	(251,1)	-	-
251	U	(252,1)	-	>(-(X, /(Y, X)), 5)
252	A	(249,1)	-	-
253	R	-	-	-
254	E	(255,2)	(256,1)	ar(X, Y)
255	U	(259,1)	-	-
256	C	(257,1)	-	-
257	U	(258,1)	-	>(/(*(X, Y), X), 5)
258	A	(255,1)	-	-
259	R	-	-	-
260	E	(261,2)	(262,1)	ar(X, Y)
261	U	(265,1)	-	-
262	C	(263,1)	-	-
263	U	(264,1)	-	>(*((+(X, Y)), X), 5)
264	A	(261,1)	-	-
265	R	-	-	-
266	E	(267,2)	(268,1)	ar(X, Y)
267	U	(271,1)	-	-
268	C	(269,1)	-	-
269	U	(270,1)	-	is(X, Y)
270	A	(267,1)	-	-
271	R	-	-	-
272	E	(273,2)	(274,1)	ar(X, Y)
273	U	(277,1)	-	-
274	C	(275,1)	-	-
275	U	(276,1)	-	is(X, -(Y, 1))
276	A	(273,1)	-	-
277	R	-	-	-
278	E	(279,2)	(280,1)	ar(X, Y)
279	U	(283,1)	-	-
280	C	(281,1)	-	-
281	U	(282,1)	-	is(X, +(Y, 1))
282	A	(279,1)	-	-
283	R	-	-	-
284	E	(285,2)	(286,1)	ar(X, Y)
285	U	(289,1)	-	-
286	C	(287,1)	-	-
287	U	(288,1)	-	is(X, *(Y, 1))
288	A	(285,1)	-	-
289	R	-	-	-
290	E	(291,2)	(292,1)	ar(X, Y)
291	U	(295,1)	-	-
292	C	(293,1)	-	-
293	U	(294,1)	-	is(X, /(Y, 1))
294	A	(291,1)	-	-
295	R	-	-	-
296	E	(297,2)	(298,1)	ar(X, Y)
297	U	(301,1)	-	-
298	C	(299,1)	-	-
299	U	(300,1)	-	a(-(X, Y))
300	A	(297,1)	-	-
301	R	-	-	-
302	E	(303,1)	-	b(A, A)
303	R	-	-	-
304	E	(305,1)	-	c(A, A)
305	R	-	-	-
306	E	(307,2)	(308,1)	p(X, Y)
307	U	(312,2)	-	-
308	C	(309,1)	(313,1)	(318,1)	(324,1)	(332,1)	
309	U	(310,1)	-	q(X, Z)
310	A	(311,1)	-	-
311	C	(307,1)	(314,1)	(319,1)	(325,1)	(333,1)	
312	U	(317,2)	-	-
313	U	(314,2)	-	r(Z)
314	U	(315,1)	-	-
315	A	(316,1)	-	-
316	C	(312,1)	(320,1)	(334,1)	
317	U	(323,2)	-	-
318	U	(319,2)	-	s(Y, Z)
319	U	(320,2)	-	-
320	U	(321,1)	-	-
321	A	(322,1)	-	-
322	C	(317,1)	(327,1)	(335,1)	
323	U	(331,2)	-	-
324	U	(326,1)	-	t(Y)
325	U	(328,1)	-	-
326	I	(325,2)	(328,1)	[[Y, X]]
327	U	(329,1)	-	-
328	G	(327,2)	(329,1)	Y
329	A	(330,1)	-	-
330	C	(323,1)	(336,1)	-
331	U	(339,1)	-	-
332	U	(333,2)	-	u(X, Y, Z)
333	U	(334,2)	-	-
334	U	(335,2)	-	-
335	U	(337,1)	-	-
336	U	(338,1)	-	-
337	G	(336,2)	(338,1)	Y
338	A	(331,1)	-	-
339	R	-	-	-
